ticker,market_cap,beta,P/E
IBM,266.843B,0.67,25.10
NSRGY,270.109B,0.50,24.20
PCCYF,263.612B,0.51,8.23
WFC,262.228B,0.93,13.24
NSRGF,270.083B,0.50,24.19
RTX,264.792B,0.31,36.89
BML-PG,N/A,1.20,5.33
BML-PH,N/A,1.20,5.30
BAC-PB,N/A,1.20,7.14
BABAF,246.737B,0.46,15.87
LIN,251.274B,0.73,35.99
BAC-PK,N/A,1.20,6.91
SIEGY,244.231B,1.29,28.87
C,238.081B,1.12,17.25
MRVL,224.693B,2.28,88.19
ACGBY,236.869B,0.17,5.81
AXP,236.778B,1.06,21.67
BML-PL,N/A,1.20,5.47
SMAWF,235.444B,1.29,28.01
BABA,230.818B,0.46,14.87
BML-PJ,N/A,1.20,5.74
LRLCY,235.826B,0.89,34.07
LRLCF,228.974B,0.89,33.01
MUFG,233.318B,0.32,15.79
BAC-PE,N/A,1.20,5.32
BACHF,219.104B,0.11,6.18
TOELF,217.462B,1.40,62.01
ACGBF,216.989B,0.17,5.17
NVO,224.477B,0.35,12.19
SHEL,215.84B,-0.25,12.13
RYDAF,211.878B,-0.25,11.91
APH,205.621B,1.27,48.03
NONOF,221.29B,0.35,11.99
ANET,205.421B,1.61,55.87
BHPLF,208.969B,0.82,20.46
BHP,211.509B,0.82,20.66
MBFJF,208.058B,0.32,14.08
CBAUF,207.477B,0.80,28.99
STX,194.857B,2.08,82.61
WDC,196.407B,2.20,34.14
TOELY,203.784B,1.40,58.03
BACHY,197.323B,0.11,5.63
SFTBF,226.532B,1.01,7.37
TD,197.965B,0.88,19.97
SFTBY,219.409B,1.01,7.13
TOYOF,201.061B,0.32,9.28
TM,206.236B,0.32,9.54
BCDRF,200.424B,0.95,13.84
RTNTF,199.049B,0.65,20.13
IDEXF,199.038B,0.91,27.92
SAN,202.359B,0.95,13.98
CRWD,199.66B,1.24,N/A
IDEXY,200.75B,0.91,28.28
AMGN,201.284B,0.42,25.94
PEP,195.944B,0.36,22.50
ABLZF,192.816B,1.02,39.94
QCOM,186.611B,1.60,19.04
ABBNY,193.47B,1.02,40.08
MCD,192.909B,0.41,22.40
HESAF,190.836B,0.99,37.18
TMO,194.228B,0.87,28.76
HESAY,196.115B,0.99,38.21
GLW,178.888B,1.15,100.42
APP,187.323B,2.45,48.40
ADI,187.737B,1.18,57.27
SAPGF,189.561B,0.73,22.49
SAP,189.714B,0.73,22.63
TMUS,191.355B,0.30,18.79
WFC-PY,N/A,0.93,4.71
FUWAY,186.117B,1.17,413.38
SSUMY,188.972B,0.60,51.56
CMWAY,188.131B,0.80,26.23
WFC-PL,N/A,0.93,241.00
FUWAF,180.588B,1.17,401.09
NEE,182.031B,0.67,22.15
ALIZY,181.754B,0.67,13.58
ALIZF,180.161B,0.67,13.47
EADSY,183.959B,0.88,32.46
SBGSF,177.472B,1.15,34.72
EADSF,181.85B,0.88,32.04
SBGSY,177.696B,1.15,34.73
VZ,176.167B,0.22,10.29
BA,178.353B,1.20,89.07
DE,169.976B,0.93,35.67
TJX,168.633B,0.62,29.64
SAFRF,169.745B,0.97,20.92
SCHW,167.644B,0.77,19.16
WBKCY,166.374B,0.73,34.80
TTE,169.959B,0.05,11.34
DIS,168.442B,1.39,15.52
SAFRY,169.541B,0.97,20.88
UNP,167.136B,0.97,23.19
IBDSF,164.627B,0.57,27.45
UBS,167.807B,0.84,18.35
WELL,165.029B,0.78,112.94
ABT,163.33B,0.62,26.27
IBDRY,163.293B,0.57,27.15
ETN,156.132B,1.19,39.33
RYCEY,165.676B,1.22,21.97
SMEGF,159.109B,1.90,64.48
RYCEF,165.842B,1.22,21.99
SHOP,155.985B,2.59,117.85
BUDFF,157.152B,0.79,22.51
SMFNF,157.093B,0.40,16.16
SMERY,161.321B,1.90,65.38
GILD,162.577B,0.33,17.84
FRCOY,156.488B,0.48,53.12
FRCOF,155.905B,0.48,52.65
BUD,158.341B,0.79,22.68
RTPPF,153.388B,0.65,15.51
SMFG,156.165B,0.40,16.07
BLK,161.761B,1.43,25.05
RIO,153.73B,0.65,15.52
ADTTF,138.222B,1.19,59.97
DBSDF,148.522B,0.28,17.68
UBER,148.762B,1.12,18.13
BX,148.823B,1.59,31.22
CIHKY,145.014B,0.54,6.85
CIHHF,143.753B,0.54,6.79
DBSDY,146.706B,0.28,17.47
ISRG,147.682B,1.45,50.54
T,143.309B,0.40,6.94
BKNG,141.896B,1.09,24.16
SCCO,144.725B,1.11,29.35
BBVA,142.942B,0.88,12.45
DHR,139.01B,0.83,38.14
CUAEF,137.077B,0.38,16.63
DTEGF,136.626B,0.29,13.71
CB,137.933B,0.42,12.58
UNCFF,136.343B,1.07,10.99
PFE,139.921B,0.29,18.74
BTAFF,135.942B,0.12,13.66
BBVXF,135.702B,0.88,11.82
DTEGY,140.972B,0.29,14.02
ATEYY,128.937B,1.19,55.94
UNCRY,140.389B,1.07,11.32
CVS,133.2B,0.62,45.79
MRAAF,133.693B,1.26,92.97
CRM,135.336B,1.15,19.15
CFRUY,133.698B,1.06,33.94
BNPQF,132.012B,1.05,9.94
PGR,132.247B,0.27,11.55
HDB,131.013B,0.43,17.85
UL,133.793B,0.45,21.06
MRAAY,124.872B,1.26,85.75
BTI,134.755B,0.12,13.54
HTHIF,130.047B,0.50,26.53
CFRHF,129.923B,1.06,32.98
UNLYF,129.228B,0.45,20.34
AIQUF,127.867B,0.64,31.97
